"Soort bromfiets";"Perioden";"Regio's";"Voertuigen met bromfietskenteken (aantal)";"Voertuigen per 1000 inwoners (aantal)"
"Voertuigen met bromfietskenteken";"2014";"Achtkarspelen";"2174";"78"
"Voertuigen met bromfietskenteken";"2015";"Achtkarspelen";"2250";"80"
"Voertuigen met bromfietskenteken";"2016";"Achtkarspelen";"2291";"82"
"Voertuigen met bromfietskenteken";"2017";"Achtkarspelen";"2488";"89"
"Voertuigen met bromfietskenteken";"2007";"Alblasserdam";"624";"33"
"Voertuigen met bromfietskenteken";"2008";"Alblasserdam";"692";"37"
"Voertuigen met bromfietskenteken";"2009";"Alblasserdam";"744";"39"
"Voertuigen met bromfietskenteken";"2010";"Alblasserdam";"817";"43"
"Voertuigen met bromfietskenteken";"2011";"Alblasserdam";"858";"45"
"Voertuigen met bromfietskenteken";"2012";"Alblasserdam";"897";"46"
"Voertuigen met bromfietskenteken";"2013";"Alblasserdam";"933";"47"
"Voertuigen met bromfietskenteken";"2014";"Alblasserdam";"965";"49"
"Voertuigen met bromfietskenteken";"2015";"Alblasserdam";"989";"50"
"Voertuigen met bromfietskenteken";"2016";"Alblasserdam";"1009";"51"
"Voertuigen met bromfietskenteken";"2017";"Alblasserdam";"1047";"52"
"Voertuigen met bromfietskenteken";"2007";"Albrandswaard";"727";"34"
"Voertuigen met bromfietskenteken";"2008";"Albrandswaard";"860";"38"
"Voertuigen met bromfietskenteken";"2009";"Albrandswaard";"997";"43"
"Voertuigen met bromfietskenteken";"2010";"Albrandswaard";"1190";"49"
"Voertuigen met bromfietskenteken";"2011";"Albrandswaard";"1345";"55"
"Voertuigen met bromfietskenteken";"2012";"Albrandswaard";"1465";"59"
"Voertuigen met bromfietskenteken";"2013";"Albrandswaard";"1478";"59"
"Voertuigen met bromfietskenteken";"2014";"Albrandswaard";"1490";"59"
"Voertuigen met bromfietskenteken";"2015";"Albrandswaard";"1570";"62"
"Voertuigen met bromfietskenteken";"2016";"Albrandswaard";"1600";"64"
"Voertuigen met bromfietskenteken";"2017";"Albrandswaard";"1644";"65"
"Voertuigen met bromfietskenteken";"2007";"Alkemade";"609";"42"
"Voertuigen met bromfietskenteken";"2008";"Alkemade";"658";"45"
"Voertuigen met bromfietskenteken";"2009";"Alkemade";"";""
"Voertuigen met bromfietskenteken";"2010";"Alkemade";"";""
"Voertuigen met bromfietskenteken";"2011";"Alkemade";"";""
"Voertuigen met bromfietskenteken";"2012";"Alkemade";"";""
"Voertuigen met bromfietskenteken";"2013";"Alkemade";"";""
"Voertuigen met bromfietskenteken";"2014";"Alkemade";"";""
"Voertuigen met bromfietskenteken";"2015";"Alkemade";"";""
"Voertuigen met bromfietskenteken";"2016";"Alkemade";"";""
"Voertuigen met bromfietskenteken";"2017";"Alkemade";"";""
"Voertuigen met bromfietskenteken";"2007";"Alkmaar";"5044";"54"
"Voertuigen met bromfietskenteken";"2008";"Alkmaar";"5557";"59"
"Voertuigen met bromfietskenteken";"2009";"Alkmaar";"6266";"67"
"Voertuigen met bromfietskenteken";"2010";"Alkmaar";"6902";"74"
"Voertuigen met bromfietskenteken";"2011";"Alkmaar";"7440";"79"
"Voertuigen met bromfietskenteken";"2012";"Alkmaar";"7658";"81"
"Voertuigen met bromfietskenteken";"2013";"Alkmaar";"7748";"82"
"Voertuigen met bromfietskenteken";"2014";"Alkmaar";"7929";"84"
"Voertuigen met bromfietskenteken";"2015";"Alkmaar";"9114";"85"
"Voertuigen met bromfietskenteken";"2016";"Alkmaar";"9117";"85"
"Voertuigen met bromfietskenteken";"2017";"Alkmaar";"9208";"85"
"Voertuigen met bromfietskenteken";"2007";"Almelo";"3045";"42"
"Voertuigen met bromfietskenteken";"2008";"Almelo";"3404";"47"
"Voertuigen met bromfietskenteken";"2009";"Almelo";"3738";"52"
"Voertuigen met bromfietskenteken";"2010";"Almelo";"3988";"55"
"Voertuigen met bromfietskenteken";"2011";"Almelo";"4225";"58"
"Voertuigen met bromfietskenteken";"2012";"Almelo";"4365";"60"
"Voertuigen met bromfietskenteken";"2013";"Almelo";"4420";"61"
"Voertuigen met bromfietskenteken";"2014";"Almelo";"4429";"61"
"Voertuigen met bromfietskenteken";"2015";"Almelo";"4595";"64"
"Voertuigen met bromfietskenteken";"2016";"Almelo";"4760";"66"
"Voertuigen met bromfietskenteken";"2017";"Almelo";"4958";"68"
"Voertuigen met bromfietskenteken";"2007";"Almere";"5726";"32"
"Voertuigen met bromfietskenteken";"2008";"Almere";"6807";"37"
"Voertuigen met bromfietskenteken";"2009";"Almere";"7793";"42"
"Voertuigen met bromfietskenteken";"2010";"Almere";"8877";"47"
"Voertuigen met bromfietskenteken";"2011";"Almere";"9842";"52"
"Voertuigen met bromfietskenteken";"2012";"Almere";"10113";"52"
"Voertuigen met bromfietskenteken";"2013";"Almere";"10938";"56"
"Voertuigen met bromfietskenteken";"2014";"Almere";"11605";"59"
"Voertuigen met bromfietskenteken";"2015";"Almere";"12260";"62"
"Voertuigen met bromfietskenteken";"2016";"Almere";"12865";"65"
"Voertuigen met bromfietskenteken";"2017";"Almere";"13330";"66"
"Voertuigen met bromfietskenteken";"2007";"Alphen aan den Rijn";"2697";"38"
"Voertuigen met bromfietskenteken";"2008";"Alphen aan den Rijn";"2922";"41"
"Voertuigen met bromfietskenteken";"2009";"Alphen aan den Rijn";"3300";"46"
"Voertuigen met bromfietskenteken";"2010";"Alphen aan den Rijn";"3695";"51"
"Voertuigen met bromfietskenteken";"2011";"Alphen aan den Rijn";"3978";"55"
"Voertuigen met bromfietskenteken";"2012";"Alphen aan den Rijn";"4156";"57"
"Voertuigen met bromfietskenteken";"2013";"Alphen aan den Rijn";"4232";"58"
"Voertuigen met bromfietskenteken";"2014";"Alphen aan den Rijn";"7357";"69"
"Voertuigen met bromfietskenteken";"2015";"Alphen aan den Rijn";"7615";"71"
"Voertuigen met bromfietskenteken";"2016";"Alphen aan den Rijn";"7813";"72"
"Voertuigen met bromfietskenteken";"2017";"Alphen aan den Rijn";"8097";"74"
"Voertuigen met bromfietskenteken";"2007";"Alphen-Chaam";"390";"41"
"Voertuigen met bromfietskenteken";"2008";"Alphen-Chaam";"422";"45"
"Voertuigen met bromfietskenteken";"2009";"Alphen-Chaam";"488";"52"
"Voertuigen met bromfietskenteken";"2010";"Alphen-Chaam";"531";"56"
"Voertuigen met bromfietskenteken";"2011";"Alphen-Chaam";"572";"60"
"Voertuigen met bromfietskenteken";"2012";"Alphen-Chaam";"581";"61"
"Voertuigen met bromfietskenteken";"2013";"Alphen-Chaam";"584";"61"
"Voertuigen met bromfietskenteken";"2014";"Alphen-Chaam";"616";"63"
"Voertuigen met bromfietskenteken";"2015";"Alphen-Chaam";"638";"65"
"Voertuigen met bromfietskenteken";"2016";"Alphen-Chaam";"668";"67"
"Voertuigen met bromfietskenteken";"2017";"Alphen-Chaam";"664";"66"
"Voertuigen met bromfietskenteken";"2007";"Ameland";"363";"105"
"Voertuigen met bromfietskenteken";"2008";"Ameland";"378";"109"
"Voertuigen met bromfietskenteken";"2009";"Ameland";"381";"110"
"Voertuigen met bromfietskenteken";"2010";"Ameland";"381";"109"
"Voertuigen met bromfietskenteken";"2011";"Ameland";"403";"115"
"Voertuigen met bromfietskenteken";"2012";"Ameland";"420";"119"
"Voertuigen met bromfietskenteken";"2013";"Ameland";"429";"122"
"Voertuigen met bromfietskenteken";"2014";"Ameland";"424";"119"
"Voertuigen met bromfietskenteken";"2015";"Ameland";"440";"123"
"Voertuigen met bromfietskenteken";"2016";"Ameland";"447";"124"
"Voertuigen met bromfietskenteken";"2017";"Ameland";"461";"127"
"Voertuigen met bromfietskenteken";"2007";"Amersfoort";"6435";"46"
"Voertuigen met bromfietskenteken";"2008";"Amersfoort";"7283";"52"
"Voertuigen met bromfietskenteken";"2009";"Amersfoort";"8128";"57"
"Voertuigen met bromfietskenteken";"2010";"Amersfoort";"8969";"62"
"Voertuigen met bromfietskenteken";"2011";"Amersfoort";"9546";"65"
"Voertuigen met bromfietskenteken";"2012";"Amersfoort";"9924";"67"
"Voertuigen met bromfietskenteken";"2013";"Amersfoort";"10214";"68"
"Voertuigen met bromfietskenteken";"2014";"Amersfoort";"10456";"69"
"Voertuigen met bromfietskenteken";"2015";"Amersfoort";"10680";"70"
"Voertuigen met bromfietskenteken";"2016";"Amersfoort";"10882";"71"
"Voertuigen met bromfietskenteken";"2017";"Amersfoort";"11110";"72"
"Voertuigen met bromfietskenteken";"2007";"Amstelveen";"2905";"37"
"Voertuigen met bromfietskenteken";"2008";"Amstelveen";"3504";"44"
"Voertuigen met bromfietskenteken";"2009";"Amstelveen";"4100";"51"
"Voertuigen met bromfietskenteken";"2010";"Amstelveen";"4634";"57"
"Voertuigen met bromfietskenteken";"2011";"Amstelveen";"5205";"64"
"Voertuigen met bromfietskenteken";"2012";"Amstelveen";"5465";"66"
"Voertuigen met bromfietskenteken";"2013";"Amstelveen";"5634";"67"
"Voertuigen met bromfietskenteken";"2014";"Amstelveen";"5754";"68"
"Voertuigen met bromfietskenteken";"2015";"Amstelveen";"5916";"68"
"Voertuigen met bromfietskenteken";"2016";"Amstelveen";"6112";"69"
"Voertuigen met bromfietskenteken";"2017";"Amstelveen";"6096";"68"
"Voertuigen met bromfietskenteken";"2007";"Amsterdam";"23927";"32"
"Voertuigen met bromfietskenteken";"2008";"Amsterdam";"30485";"41"
"Voertuigen met bromfietskenteken";"2009";"Amsterdam";"37592";"50"
"Voertuigen met bromfietskenteken";"2010";"Amsterdam";"44135";"58"
"Voertuigen met bromfietskenteken";"2011";"Amsterdam";"48609";"62"
"Voertuigen met bromfietskenteken";"2012";"Amsterdam";"51060";"65"
"Voertuigen met bromfietskenteken";"2013";"Amsterdam";"52559";"66"
"Voertuigen met bromfietskenteken";"2014";"Amsterdam";"53952";"67"
"Voertuigen met bromfietskenteken";"2015";"Amsterdam";"55842";"68"
"Voertuigen met bromfietskenteken";"2016";"Amsterdam";"58264";"70"
"Voertuigen met bromfietskenteken";"2017";"Amsterdam";"59234";"70"
"Voertuigen met bromfietskenteken";"2007";"Andijk";"346";"52"
"Voertuigen met bromfietskenteken";"2008";"Andijk";"369";"56"
"Voertuigen met bromfietskenteken";"2009";"Andijk";"389";"60"
"Voertuigen met bromfietskenteken";"2010";"Andijk";"412";"63"
"Voertuigen met bromfietskenteken";"2011";"Andijk";"";""
"Voertuigen met bromfietskenteken";"2012";"Andijk";"";""
"Voertuigen met bromfietskenteken";"2013";"Andijk";"";""
"Voertuigen met bromfietskenteken";"2014";"Andijk";"";""
"Voertuigen met bromfietskenteken";"2015";"Andijk";"";""
"Voertuigen met bromfietskenteken";"2016";"Andijk";"";""
"Voertuigen met bromfietskenteken";"2017";"Andijk";"";""
"Voertuigen met bromfietskenteken";"2007";"Anna Paulowna";"752";"54"
"Voertuigen met bromfietskenteken";"2008";"Anna Paulowna";"799";"57"
"Voertuigen met bromfietskenteken";"2009";"Anna Paulowna";"879";"62"
"Voertuigen met bromfietskenteken";"2010";"Anna Paulowna";"937";"66"
"Voertuigen met bromfietskenteken";"2011";"Anna Paulowna";"984";"69"
"Voertuigen met bromfietskenteken";"2012";"Anna Paulowna";"";""
"Voertuigen met bromfietskenteken";"2013";"Anna Paulowna";"";""
"Voertuigen met bromfietskenteken";"2014";"Anna Paulowna";"";""
"Voertuigen met bromfietskenteken";"2015";"Anna Paulowna";"";""
"Voertuigen met bromfietskenteken";"2016";"Anna Paulowna";"";""
"Voertuigen met bromfietskenteken";"2017";"Anna Paulowna";"";""
"Voertuigen met bromfietskenteken";"2007";"Apeldoorn";"8464";"54"
"Voertuigen met bromfietskenteken";"2008";"Apeldoorn";"9151";"59"
"Voertuigen met bromfietskenteken";"2009";"Apeldoorn";"10221";"66"
"Voertuigen met bromfietskenteken";"2010";"Apeldoorn";"10935";"70"
"Voertuigen met bromfietskenteken";"2011";"Apeldoorn";"11649";"75"
"Voertuigen met bromfietskenteken";"2012";"Apeldoorn";"12039";"77"
"Voertuigen met bromfietskenteken";"2013";"Apeldoorn";"12382";"79"
"Voertuigen met bromfietskenteken";"2014";"Apeldoorn";"12523";"79"
"Voertuigen met bromfietskenteken";"2015";"Apeldoorn";"12795";"81"
"Voertuigen met bromfietskenteken";"2016";"Apeldoorn";"12989";"82"
"Voertuigen met bromfietskenteken";"2017";"Apeldoorn";"12920";"81"
"Voertuigen met bromfietskenteken";"2007";"Appingedam";"452";"37"
"Voertuigen met bromfietskenteken";"2008";"Appingedam";"484";"40"
"Voertuigen met bromfietskenteken";"2009";"Appingedam";"491";"41"
"Voertuigen met bromfietskenteken";"2010";"Appingedam";"540";"45"
"Voertuigen met bromfietskenteken";"2011";"Appingedam";"561";"46"
"Voertuigen met bromfietskenteken";"2012";"Appingedam";"557";"46"
"Voertuigen met bromfietskenteken";"2013";"Appingedam";"580";"48"
"Voertuigen met bromfietskenteken";"2014";"Appingedam";"573";"47"
"Voertuigen met bromfietskenteken";"2015";"Appingedam";"588";"49"
"Voertuigen met bromfietskenteken";"2016";"Appingedam";"606";"50"
"Voertuigen met bromfietskenteken";"2017";"Appingedam";"600";"50"
"Voertuigen met bromfietskenteken";"2007";"Arcen en Velden";"306";"35"
"Voertuigen met bromfietskenteken";"2008";"Arcen en Velden";"365";"42"
"Voertuigen met bromfietskenteken";"2009";"Arcen en Velden";"406";"47"
"Voertuigen met bromfietskenteken";"2010";"Arcen en Velden";"";""
"Voertuigen met bromfietskenteken";"2011";"Arcen en Velden";"";""
"Voertuigen met bromfietskenteken";"2012";"Arcen en Velden";"";""
"Voertuigen met bromfietskenteken";"2013";"Arcen en Velden";"";""
"Voertuigen met bromfietskenteken";"2014";"Arcen en Velden";"";""
"Voertuigen met bromfietskenteken";"2015";"Arcen en Velden";"";""
"Voertuigen met bromfietskenteken";"2016";"Arcen en Velden";"";""
"Voertuigen met bromfietskenteken";"2017";"Arcen en Velden";"";""
"Voertuigen met bromfietskenteken";"2007";"Arnhem";"7902";"55"
"Voertuigen met bromfietskenteken";"2008";"Arnhem";"8754";"61"
"Voertuigen met bromfietskenteken";"2009";"Arnhem";"9738";"67"
"Voertuigen met bromfietskenteken";"2010";"Arnhem";"10559";"72"
"Voertuigen met bromfietskenteken";"2011";"Arnhem";"11313";"76"
"Voertuigen met bromfietskenteken";"2012";"Arnhem";"11649";"78"
"Voertuigen met bromfietskenteken";"2013";"Arnhem";"11779";"79"
"Voertuigen met bromfietskenteken";"2014";"Arnhem";"11737";"78"
"Voertuigen met bromfietskenteken";"2015";"Arnhem";"11733";"77"
"Voertuigen met bromfietskenteken";"2016";"Arnhem";"11741";"76"
"Voertuigen met bromfietskenteken";"2017";"Arnhem";"11893";"76"
"Voertuigen met bromfietskenteken";"2007";"Assen";"1689";"26"
"Voertuigen met bromfietskenteken";"2008";"Assen";"1868";"29"
"Voertuigen met bromfietskenteken";"2009";"Assen";"2118";"32"
"Voertuigen met bromfietskenteken";"2010";"Assen";"2345";"35"
"Voertuigen met bromfietskenteken";"2011";"Assen";"2593";"39"
"Voertuigen met bromfietskenteken";"2012";"Assen";"2769";"41"
"Voertuigen met bromfietskenteken";"2013";"Assen";"2943";"44"
"Voertuigen met bromfietskenteken";"2014";"Assen";"3016";"45"
"Voertuigen met bromfietskenteken";"2015";"Assen";"3225";"48"
"Voertuigen met bromfietskenteken";"2016";"Assen";"3380";"50"
"Voertuigen met bromfietskenteken";"2017";"Assen";"3667";"54"
"Voertuigen met bromfietskenteken";"2007";"Asten";"588";"36"
"Voertuigen met bromfietskenteken";"2008";"Asten";"609";"37"
"Voertuigen met bromfietskenteken";"2009";"Asten";"673";"41"
"Voertuigen met bromfietskenteken";"2010";"Asten";"771";"47"
"Voertuigen met bromfietskenteken";"2011";"Asten";"838";"51"
"Voertuigen met bromfietskenteken";"2012";"Asten";"874";"53"
"Voertuigen met bromfietskenteken";"2013";"Asten";"915";"56"
"Voertuigen met bromfietskenteken";"2014";"Asten";"936";"57"
"Voertuigen met bromfietskenteken";"2015";"Asten";"922";"56"
"Voertuigen met bromfietskenteken";"2016";"Asten";"920";"55"
"Voertuigen met bromfietskenteken";"2017";"Asten";"954";"57"
"Voertuigen met bromfietskenteken";"2007";"Baarle-Nassau";"220";"33"
"Voertuigen met bromfietskenteken";"2008";"Baarle-Nassau";"247";"37"
"Voertuigen met bromfietskenteken";"2009";"Baarle-Nassau";"269";"40"
"Voertuigen met bromfietskenteken";"2010";"Baarle-Nassau";"305";"46"
"Voertuigen met bromfietskenteken";"2011";"Baarle-Nassau";"320";"48"
"Voertuigen met bromfietskenteken";"2012";"Baarle-Nassau";"311";"46"
"Voertuigen met bromfietskenteken";"2013";"Baarle-Nassau";"300";"45"
"Voertuigen met bromfietskenteken";"2014";"Baarle-Nassau";"291";"44"
"Voertuigen met bromfietskenteken";"2015";"Baarle-Nassau";"299";"45"
"Voertuigen met bromfietskenteken";"2016";"Baarle-Nassau";"302";"46"
"Voertuigen met bromfietskenteken";"2017";"Baarle-Nassau";"362";"54"
"Voertuigen met bromfietskenteken";"2007";"Baarn";"1092";"45"
"Voertuigen met bromfietskenteken";"2008";"Baarn";"1145";"47"
"Voertuigen met bromfietskenteken";"2009";"Baarn";"1214";"50"
"Voertuigen met bromfietskenteken";"2010";"Baarn";"1322";"54"
"Voertuigen met bromfietskenteken";"2011";"Baarn";"1426";"58"
"Voertuigen met bromfietskenteken";"2012";"Baarn";"1478";"61"
"Voertuigen met bromfietskenteken";"2013";"Baarn";"1505";"62"
"Voertuigen met bromfietskenteken";"2014";"Baarn";"1543";"63"
"Voertuigen met bromfietskenteken";"2015";"Baarn";"1589";"65"
"Voertuigen met bromfietskenteken";"2016";"Baarn";"1559";"64"
"Voertuigen met bromfietskenteken";"2017";"Baarn";"1578";"64"
"Voertuigen met bromfietskenteken";"2007";"Barendrecht";"1424";"33"
"Voertuigen met bromfietskenteken";"2008";"Barendrecht";"1718";"38"
"Voertuigen met bromfietskenteken";"2009";"Barendrecht";"1994";"43"
"Voertuigen met bromfietskenteken";"2010";"Barendrecht";"2329";"50"
"Voertuigen met bromfietskenteken";"2011";"Barendrecht";"2610";"56"
"Voertuigen met bromfietskenteken";"2012";"Barendrecht";"2828";"60"
"Voertuigen met bromfietskenteken";"2013";"Barendrecht";"2918";"62"
"Voertuigen met bromfietskenteken";"2014";"Barendrecht";"2989";"63"
"Voertuigen met bromfietskenteken";"2015";"Barendrecht";"3089";"65"
"Voertuigen met bromfietskenteken";"2016";"Barendrecht";"3186";"67"
"Voertuigen met bromfietskenteken";"2017";"Barendrecht";"3392";"70"
"Voertuigen met bromfietskenteken";"2007";"Barneveld";"2003";"39"
"Voertuigen met bromfietskenteken";"2008";"Barneveld";"2208";"43"
"Voertuigen met bromfietskenteken";"2009";"Barneveld";"2453";"47"
"Voertuigen met bromfietskenteken";"2010";"Barneveld";"2578";"49"
"Voertuigen met bromfietskenteken";"2011";"Barneveld";"2708";"51"
"Voertuigen met bromfietskenteken";"2012";"Barneveld";"2787";"52"
"Voertuigen met bromfietskenteken";"2013";"Barneveld";"2814";"52"
"Voertuigen met bromfietskenteken";"2014";"Barneveld";"2857";"53"
"Voertuigen met bromfietskenteken";"2015";"Barneveld";"2955";"54"
"Voertuigen met bromfietskenteken";"2016";"Barneveld";"3060";"55"
"Voertuigen met bromfietskenteken";"2017";"Barneveld";"3137";"56"
"Voertuigen met bromfietskenteken";"2007";"Bedum";"361";"34"
"Voertuigen met bromfietskenteken";"2008";"Bedum";"397";"38"
"Voertuigen met bromfietskenteken";"2009";"Bedum";"459";"44"
"Voertuigen met bromfietskenteken";"2010";"Bedum";"510";"49"
"Voertuigen met bromfietskenteken";"2011";"Bedum";"508";"48"
"Voertuigen met bromfietskenteken";"2012";"Bedum";"534";"51"
"Voertuigen met bromfietskenteken";"2013";"Bedum";"536";"51"
"Voertuigen met bromfietskenteken";"2014";"Bedum";"527";"50"
"Voertuigen met bromfietskenteken";"2015";"Bedum";"539";"52"
"Voertuigen met bromfietskenteken";"2016";"Bedum";"581";"56"
"Voertuigen met bromfietskenteken";"2017";"Bedum";"607";"58"
"Voertuigen met bromfietskenteken";"2007";"Beek (L.)";"791";"47"
"Voertuigen met bromfietskenteken";"2008";"Beek (L.)";"795";"48"
"Voertuigen met bromfietskenteken";"2009";"Beek (L.)";"821";"49"
"Voertuigen met bromfietskenteken";"2010";"Beek (L.)";"898";"54"
"Voertuigen met bromfietskenteken";"2011";"Beek (L.)";"922";"56"
"Voertuigen met bromfietskenteken";"2012";"Beek (L.)";"945";"57"
"Voertuigen met bromfietskenteken";"2013";"Beek (L.)";"1015";"62"
"Voertuigen met bromfietskenteken";"2014";"Beek (L.)";"1026";"63"
"Voertuigen met bromfietskenteken";"2015";"Beek (L.)";"1059";"65"
"Voertuigen met bromfietskenteken";"2016";"Beek (L.)";"1040";"65"
"Voertuigen met bromfietskenteken";"2017";"Beek (L.)";"1105";"69"
"Voertuigen met bromfietskenteken";"2007";"Beemster";"469";"55"
"Voertuigen met bromfietskenteken";"2008";"Beemster";"511";"60"
"Voertuigen met bromfietskenteken";"2009";"Beemster";"582";"68"
"Voertuigen met bromfietskenteken";"2010";"Beemster";"641";"75"
"Voertuigen met bromfietskenteken";"2011";"Beemster";"669";"78"
"Voertuigen met bromfietskenteken";"2012";"Beemster";"708";"81"
"Voertuigen met bromfietskenteken";"2013";"Beemster";"691";"79"
"Voertuigen met bromfietskenteken";"2014";"Beemster";"697";"78"
"Voertuigen met bromfietskenteken";"2015";"Beemster";"722";"81"
"Voertuigen met bromfietskenteken";"2016";"Beemster";"740";"83"
"Voertuigen met bromfietskenteken";"2017";"Beemster";"773";"84"
"Voertuigen met bromfietskenteken";"2007";"Beesel";"484";"35"
"Voertuigen met bromfietskenteken";"2008";"Beesel";"496";"36"
"Voertuigen met bromfietskenteken";"2009";"Beesel";"508";"37"
"Voertuigen met bromfietskenteken";"2010";"Beesel";"574";"41"
"Voertuigen met bromfietskenteken";"2011";"Beesel";"603";"44"
"Voertuigen met bromfietskenteken";"2012";"Beesel";"639";"46"
"Voertuigen met bromfietskenteken";"2013";"Beesel";"621";"45"
"Voertuigen met bromfietskenteken";"2014";"Beesel";"632";"46"
"Voertuigen met bromfietskenteken";"2015";"Beesel";"665";"49"
"Voertuigen met bromfietskenteken";"2016";"Beesel";"657";"49"
"Voertuigen met bromfietskenteken";"2017";"Beesel";"688";"51"
"Voertuigen met bromfietskenteken";"2007";"Bellingwedde";"507";"53"
"Voertuigen met bromfietskenteken";"2008";"Bellingwedde";"525";"55"
"Voertuigen met bromfietskenteken";"2009";"Bellingwedde";"556";"60"
"Voertuigen met bromfietskenteken";"2010";"Bellingwedde";"577";"62"
"Voertuigen met bromfietskenteken";"2011";"Bellingwedde";"591";"63"
"Voertuigen met bromfietskenteken";"2012";"Bellingwedde";"588";"63"
"Voertuigen met bromfietskenteken";"2013";"Bellingwedde";"611";"68"
"Voertuigen met bromfietskenteken";"2014";"Bellingwedde";"599";"67"
"Voertuigen met bromfietskenteken";"2015";"Bellingwedde";"607";"66"
"Voertuigen met bromfietskenteken";"2016";"Bellingwedde";"632";"70"
